/* DATA DESCRIPTION:
Citation:	Bailly du Bois, Pascal; Dumas, F; Solier, L; Voiseux, C (2011): DISPRO drifter 72975 trackline. PANGAEA, https://doi.org/10.1594/PANGAEA.762198, 
	In supplement to: Bailly du Bois, P et al. (2012): In-situ database toolbox for short-term dispersion model validation in macro-tidal seas, application for 2D-model. Continental Shelf Research, 36, 63-82, https://doi.org/10.1016/j.csr.2012.01.011
Coverage:	MEDIAN LATITUDE: 49.608305 * MEDIAN LONGITUDE: -2.085928 * SOUTH-BOUND LATITUDE: 49.303100 * WEST-BOUND LONGITUDE: -2.694200 * NORTH-BOUND LATITUDE: 49.802700 * EAST-BOUND LONGITUDE: -1.547500
	DATE/TIME START: 2007-03-15T14:04:00 * DATE/TIME END: 2007-03-28T18:00:00
Event(s):	Drifter_72975 * LATITUDE START: 49.663500 * LONGITUDE START: -2.075800 * LATITUDE END: 49.624900 * LONGITUDE END: -2.600700 * DATE/TIME START: 2007-03-15T14:04:15 * DATE/TIME END: 2007-03-28T18:00:10 * LOCATION: La Hague Cape, English Channel * CAMPAIGN: DISPRO * BASIS: Côtes de la Manche * METHOD/DEVICE: Drifter (DRIFT)
Comment:	Two Argos drifters were released on 15 March 2007. These devices are described by Niiler et al. (1995) and validated as being reliable for tracking water-mass movements: they consist of a surface buoy with a GPS receiver and a transmission link towards the ARGOS system. A cable and a 5m holey sock are immersed at a depth 15 m. Their drift is representative of the surface currents in this layer. Theses two drifters were released at the same time at a distance of 100 m apart in the Blanchard race, and then tracked every 30 minutes over 13 days. They were separated by a distance of 54 km from each other at the time of their retrieval. The trajectories shown illustrate the variability of currents in the Cap de la Hague area.
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE
	LONGITUDE (Longitude) * GEOCODE
	LATITUDE (Latitude) * GEOCODE
	Number (No) * PI: Bailly du Bois, Pascal (https://orcid.org/0000-0001-8436-0772, pascal.bailly-du-bois@irsn.fr) * COMMENT: of drifter
License:	Creative Commons Attribution-NonCommercial 3.0 Unported (CC-BY-NC-3.0)
Size:	570 data points
*/
Date/Time	Longitude	Latitude	No
2007-03-15T14:04	-2.0758	49.6635	72975
2007-03-15T14:30	-2.0731	49.6677	72975
2007-03-15T15:00	-2.0666	49.6820	72975
2007-03-15T15:30	-2.0558	49.7064	72975
2007-03-15T16:00	-2.0358	49.7342	72975
2007-03-15T16:30	-2.0196	49.7564	72975
2007-03-15T17:00	-1.9792	49.7755	72975
2007-03-15T17:30	-1.9369	49.7883	72975
2007-03-15T18:00	-1.8956	49.7945	72975
2007-03-15T18:30	-1.8616	49.7950	72975
2007-03-15T19:00	-1.8363	49.7932	72975
2007-03-15T19:30	-1.8196	49.7907	72975
2007-03-15T20:00	-1.8125	49.7876	72975
2007-03-15T20:30	-1.8149	49.7854	72975
2007-03-15T21:00	-1.8279	49.7837	72975
2007-03-15T21:30	-1.8523	49.7830	72975
2007-03-15T22:00	-1.8865	49.7818	72975
2007-03-15T22:30	-1.9279	49.7792	72975
2007-03-15T23:00	-1.9733	49.7738	72975
2007-03-15T23:30	-2.0149	49.7620	72975
2007-03-16T00:00	-2.0449	49.7461	72975
2007-03-16T00:30	-2.0687	49.7282	72975
2007-03-16T01:00	-2.0831	49.7096	72975
2007-03-16T01:30	-2.0900	49.6956	72975
2007-03-16T02:00	-2.0894	49.6878	72975
2007-03-16T02:30	-2.0847	49.6873	72975
2007-03-16T03:00	-2.0763	49.6961	72975
2007-03-16T03:30	-2.0615	49.7170	72975
2007-03-16T04:00	-2.0346	49.7426	72975
2007-03-16T04:30	-2.0021	49.7652	72975
2007-03-16T05:00	-1.9551	49.7827	72975
2007-03-16T05:30	-1.9080	49.7907	72975
2007-03-16T06:00	-1.8626	49.7917	72975
2007-03-16T06:30	-1.8272	49.7896	72975
2007-03-16T07:00	-1.7978	49.7846	72975
2007-03-16T07:30	-1.7795	49.7800	72975
2007-03-16T08:00	-1.7718	49.7763	72975
2007-03-16T08:30	-1.7736	49.7742	72975
2007-03-16T09:00	-1.7859	49.7727	72975
2007-03-16T09:30	-1.8089	49.7727	72975
2007-03-16T10:00	-1.8452	49.7746	72975
2007-03-16T10:30	-1.8929	49.7759	72975
2007-03-16T11:00	-1.9508	49.7728	72975
2007-03-16T11:30	-2.0077	49.7624	72975
2007-03-16T12:00	-2.0464	49.7434	72975
2007-03-16T12:30	-2.0767	49.7192	72975
2007-03-16T13:00	-2.0924	49.6933	72975
2007-03-16T13:01	-2.0924	49.6940	72975
2007-03-16T13:30	-2.1000	49.6710	72975
2007-03-16T14:00	-2.1030	49.6568	72975
2007-03-16T14:30	-2.1022	49.6502	72975
2007-03-16T15:00	-2.0973	49.6515	72975
2007-03-16T15:30	-2.0896	49.6613	72975
2007-03-16T16:00	-2.0774	49.6814	72975
2007-03-16T16:30	-2.0605	49.7141	72975
2007-03-16T17:00	-2.0297	49.7481	72975
2007-03-16T17:30	-1.9908	49.7746	72975
2007-03-16T18:00	-1.9360	49.7931	72975
2007-03-16T18:30	-1.8806	49.8019	72975
2007-03-16T19:00	-1.8342	49.8027	72975
2007-03-16T19:30	-1.7993	49.7990	72975
2007-03-16T20:00	-1.7761	49.7946	72975
2007-03-16T20:30	-1.7638	49.7903	72975
2007-03-16T21:00	-1.7603	49.7859	72975
2007-03-16T21:30	-1.7676	49.7837	72975
2007-03-16T22:00	-1.7865	49.7822	72975
2007-03-16T22:30	-1.8163	49.7827	72975
2007-03-16T23:00	-1.8585	49.7843	72975
2007-03-16T23:30	-1.9100	49.7833	72975
2007-03-17T00:00	-1.9643	49.7791	72975
2007-03-17T00:31	-2.0181	49.7661	72975
2007-03-17T01:00	-2.0543	49.7487	72975
2007-03-17T01:30	-2.0802	49.7288	72975
2007-03-17T02:00	-2.0929	49.7098	72975
